county,city,type,website,drop,ballot,ballot_link,ballot_link_text,sorting county
Androscoggin,Auburn,election,http://www.auburnmaine.gov/pages/government/election-and-voting,,,,,Androscoggin
Androscoggin,Durham,town,https://www.durhamme.com/,,,,,Androscoggin
Androscoggin,Greene,election,https://www.townofgreene.net/elections,,,,,Androscoggin
Androscoggin,Leeds,town,https://sites.google.com/site/townofleedsmaine/,,,,,Androscoggin
Androscoggin,Lewiston,election,https://www.lewistonmaine.gov/117/Elections,City Hall - Park Street entrance door,,,,Androscoggin
Androscoggin,Lisbon,election,https://www.lisbonme.org/election-information,Town hall,,,,Androscoggin
Androscoggin,Livermore,town,http://livermoremaine.org/,,,,,Androscoggin
Androscoggin,Livermore Falls,election,http://lfme.org/elections/,,,,,Androscoggin
Androscoggin,Mechanic Falls,town,https://mechanicfalls.govoffice.com/,,,,,Androscoggin
Androscoggin,Minot,election,https://minotme.org/index.asp?SEC=8CA67442-D60D-4CCD-B5C0-F0C162FD0658&DE=3DD12AA1-1B1B-4844-AB38-AD2EA80C2324,Town hall main entrance,,,,Androscoggin
Androscoggin,Poland,town,https://www.polandtownoffice.org/,,,,,Androscoggin
Androscoggin,Sabattus,town,https://www.sabattus.org/,,,,,Androscoggin
Androscoggin,Turner,town,https://www.turnermaine.com/,,,,,Androscoggin
Androscoggin,Wales,Facebook,https://www.facebook.com/Town-of-Wales-Maine-105105240896391/,,,,,Androscoggin
Aroostook,Allagash,contact info,https://www.maine.gov/local/town.php?t=Allagash,,,,,Aroostook
Aroostook,Amity,town,http://townofamity.com/,,,,,Aroostook
Aroostook,Ashland,town,http://townofashland.org/,,,,,Aroostook
Aroostook,Bancroft,contact info,https://www.maine.gov/local/town.php?t=Bancroft,,,,,Aroostook
Aroostook,Blaine,contact info,https://www.maine.gov/local/town.php?t=Blaine,,,,,Aroostook
Aroostook,Bridgewater,Facebook,https://www.facebook.com/bridgewatermaine/,,,,,Aroostook
Aroostook,Caribou,election,https://www.cariboumaine.org/elections/,,,,,Aroostook
Aroostook,Cary Plantation,contact info,https://www.maine.gov/local/town.php?t=Cary%20Plt,,,,,Aroostook
Aroostook,Castle Hill,town,https://www.maine.gov/local/town.php?t=Castle%20Hill,,,,,Aroostook
Aroostook,Caswell,contact info,https://www.maine.gov/local/town.php?t=Caswell,,,,,Aroostook
Aroostook,Chapman,town,https://www.mapleton.me/#,,,,,Aroostook
Aroostook,Crystal,contact info,https://www.maine.gov/local/town.php?t=Crystal,,,,,Aroostook
Aroostook,Cyr Plantation,contact info,https://cyrplantation.com/,,,,,Aroostook
Aroostook,Dyer Brook,contact info,https://www.maine.gov/local/town.php?t=Dyer%20Brook,,,,,Aroostook
Aroostook,Eagle Lake,election,https://www.townofeaglelake.org/registering-to-vote,,,,,Aroostook
Aroostook,Easton,election,https://www.eastonme.com/municipal-departments/elections-voting/,,,,,Aroostook
Aroostook,Fort Fairfield,town,http://www.fortfairfield.org/,,,,,Aroostook
Aroostook,Fort Kent,town,http://www.fortkent.org/,,,,,Aroostook
Aroostook,Frenchville,town,https://www.frenchville.org/,,,,,Aroostook
Aroostook,Garfield Plantation,contact info,https://www.maine.gov/local/town.php?t=Garfield%20Plt,,,,,Aroostook
Aroostook,Glenwood Plantation,contact info,https://www.maine.gov/local/town.php?t=Glenwood%20Plt,,,,,Aroostook
Aroostook,Grand Isle,town,https://grandislemaine.com/,,,,,Aroostook
Aroostook,Hamlin,contact info,https://www.maine.gov/local/town.php?t=Hamlin,,,,,Aroostook
Aroostook,Hammond,contact info,https://www.maine.gov/local/town.php?t=Hammond,,,,,Aroostook
Aroostook,Haynesville,contact info,https://www.maine.gov/local/town.php?t=Haynesville,,,,,Aroostook
Aroostook,Hersey,contact info,https://www.maine.gov/local/town.php?t=Hersey,,,,,Aroostook
Aroostook,Hodgdon,contact info,https://www.maine.gov/local/town.php?t=Hodgdon,,,,,Aroostook
Aroostook,Houlton,town,http://www.houlton-maine.com/,,,,,Aroostook
Aroostook,Island Falls,town,https://www.islandfallsme.us/,,,,,Aroostook
Aroostook,Limestone,town,http://www.limestonemaine.org/,,,,,Aroostook
Aroostook,Linneus,contact info,https://www.maine.gov/local/town.php?t=Linneus,,,,,Aroostook
Aroostook,Littleton,Facebook,https://www.facebook.com/pages/Littleton-Town-Office/1065409710159142,,,,,Aroostook
Aroostook,Ludlow,Facebook,https://www.facebook.com/pages/Ludlow-Town-Office/452966878460576,,,,,Aroostook
Aroostook,Macwahoc Plantation,contact info,https://www.maine.gov/local/town.php?t=Macwahoc%20Plt,,,,,Aroostook
Aroostook,Madawaska,town,http://townofmadawaska.com,,,,,Aroostook
Aroostook,Mapleton,town,https://www.mapleton.me/#,,,,,Aroostook
Aroostook,Mars Hill,election,https://marshillmaine.org/voter-election-information/,,,,,Aroostook
Aroostook,Masardis,contact info,https://www.maine.gov/local/town.php?t=Masardis,,,,,Aroostook
Aroostook,Merrill,town,https://merrill.aroostook.me.us/,,,,,Aroostook
Aroostook,Monticello,contact info,https://www.maine.gov/local/town.php?t=Monticello,,,,,Aroostook
Aroostook,Moro Plantation,contact info,https://www.maine.gov/local/town.php?t=Moro%20Plt,,,,,Aroostook
