county,city,type,website,drop,ballot,ballot_link,ballot_link_text,sorting county
Androscoggin,,county,https://www.androscoggincountymaine.gov/about/about.htm,,,,,Androscoggin
,Auburn,election,http://www.auburnmaine.gov/pages/government/election-and-voting,,,,,Androscoggin
,Durham,election,https://www.durhamme.com/election-information,,,,,Androscoggin
,Greene,contact info,https://www.maine.gov/local/town.php?t=Greene,,,,,Androscoggin
,Leeds,town,https://sites.google.com/site/townofleedsmaine/,,,,,Androscoggin
,Lewiston,election,https://www.lewistonmaine.gov/117/Elections,City Hall - Park Street entrance door,,,,Androscoggin
,Lisbon,election,https://www.lisbonme.org/election-information,,,,,Androscoggin
,Livermore,town,http://livermoremaine.org/,,,,,Androscoggin
,Livermore Falls,town,http://lfme.org/,,,,,Androscoggin
,Mechanic Falls,town,https://mechanicfalls.govoffice.com/,,,,,Androscoggin
,Minot,election,https://minotme.org/index.asp?SEC=8CA67442-D60D-4CCD-B5C0-F0C162FD0658&DE=3DD12AA1-1B1B-4844-AB38-AD2EA80C2324,Town hall main entrance,,,,Androscoggin
,Poland,town,https://www.polandtownoffice.org/,,,,,Androscoggin
,Sabattus,town,https://www.sabattus.org/,,,,,Androscoggin
,Turner,town,https://www.turnermaine.com/,,,,,Androscoggin
,Wales,town,http://walesmaine.org/,,,,,Androscoggin
Aroostook,,county,https://www.aroostook.me.us/,,,,,Aroostook
,Allagash,town,http://www.aroostook.me.us/allagash/,,,,,Aroostook
,Amity,town,http://townofamity.com/,,,,,Aroostook
,Ashland,town,http://townofashland.org/,,,,,Aroostook
,Bancroft,contact info,https://www.maine.gov/local/town.php?t=Bancroft,,,,,Aroostook
,Blaine,contact info,https://www.maine.gov/local/town.php?t=Blaine,,,,,Aroostook
,Bridgewater,Facebook,https://www.facebook.com/bridgewatermaine/,,,,,Aroostook
,Caribou,election,http://www.cariboumaine.org/index.php/departments/city-clerk/elections/,,,,,Aroostook
,Cary Plantation,contact info,https://www.maine.gov/local/town.php?t=Cary%20Plt,,,,,Aroostook
,Castle Hill,town,https://www.mapleton.me/#,,,,,Aroostook
,Caswell,contact info,https://www.maine.gov/local/town.php?t=Caswell,,,,,Aroostook
,Chapman,town,https://www.mapleton.me/#,,,,,Aroostook
,Crystal,contact info,https://www.maine.gov/local/town.php?t=Crystal,,,,,Aroostook
,Cyr Plantation,contact info,https://www.maine.gov/local/town.php?t=Cyr%20Plt,,,,,Aroostook
,Dyer Brook,contact info,https://www.maine.gov/local/town.php?t=Dyer%20Brook,,,,,Aroostook
,Eagle Lake,election,https://www.townofeaglelake.org/registering-to-vote,,,,,Aroostook
,Easton,election,https://www.eastonme.com/municipal-departments/elections-voting/,,,,,Aroostook
,Fort Fairfield,town,http://www.fortfairfield.org/,,,,,Aroostook
,Fort Kent,town,http://www.fortkent.org/,,,,,Aroostook
,Frenchville,town,https://www.frenchville.org/,,,,,Aroostook
,Garfield Plantation,contact info,https://www.maine.gov/local/town.php?t=Garfield%20Plt,,,,,Aroostook
,Glenwood Plantation,contact info,https://www.maine.gov/local/town.php?t=Glenwood%20Plt,,,,,Aroostook
,Grand Isle,town,http://www.grandislemaine.com/Home_Page.php,,,,,Aroostook
,Hamlin,contact info,https://www.maine.gov/local/town.php?t=Hamlin,,,,,Aroostook
,Hammond,contact info,https://www.maine.gov/local/town.php?t=Hammond,,,,,Aroostook
,Haynesville,contact info,https://www.maine.gov/local/town.php?t=Haynesville,,,,,Aroostook
,Hersey,contact info,https://www.maine.gov/local/town.php?t=Hersey,,,,,Aroostook
,Hodgdon,contact info,https://www.maine.gov/local/town.php?t=Hodgdon,,,,,Aroostook
,Houlton,town,http://www.houlton-maine.com/,,,,,Aroostook
,Island Falls,election,https://www.islandfallsme.us/index.asp?SEC=0DE9ACC4-6892-4F43-A1D3-2E313D3EAB71,,,,,Aroostook
,Limestone,town,http://www.limestonemaine.org/,,,,,Aroostook
,Linneus,contact info,https://www.maine.gov/local/town.php?t=Linneus,,,,,Aroostook
,Littleton,Facebook,https://www.facebook.com/pages/Littleton-Town-Office/1065409710159142,,,,,Aroostook
,Ludlow,Facebook,https://www.facebook.com/pages/Ludlow-Town-Office/452966878460576,,,,,Aroostook
,Macwahoc Plantation,contact info,https://www.maine.gov/local/town.php?t=Macwahoc%20Plt,,,,,Aroostook
,Madawaska,town,http://townofmadawaska.com,,,,,Aroostook
,Mapleton,town,https://www.mapleton.me/#,,,,,Aroostook
,Mars Hill,election,https://marshillmaine.org/voter-election-information/,,,,,Aroostook
,Masardis,contact info,https://www.maine.gov/local/town.php?t=Masardis,,,,,Aroostook
,Merrill,town,https://merrill.aroostook.me.us/,,,,,Aroostook
,Monticello,contact info,https://www.maine.gov/local/town.php?t=Monticello,,,,,Aroostook
,Moro Plantation,contact info,https://www.maine.gov/local/town.php?t=Moro%20Plt,,,,,Aroostook
,Nashville Plantation,contact info,https://www.maine.gov/local/town.php?t=Nashville%20Plt,,,,,Aroostook
,New Canada,contact info,https://www.maine.gov/local/town.php?t=New%20Canada,,,,,Aroostook
,New Limerick,contact info,https://www.maine.gov/local/town.php?t=New%20Limerick,,,,,Aroostook
,New Sweden,contact info,https://www.maine.gov/local/town.php?t=New%20Sweden,,,,,Aroostook
,Oakfield,town,https://www.oakfieldme.org/,,,,,Aroostook
,Orient,town,http://www.orientmaine.org/,,,,,Aroostook
,Oxbow Plantation,contact info,https://www.maine.gov/local/town.php?t=Oxbow%20Plt,,,,,Aroostook
,Perham,contact info,https://www.maine.gov/local/town.php?t=Perham,,,,,Aroostook
,Portage Lake,election,https://www.townofportage.org/town-government/office-personnel/office-of-the-clerk.html,,,,,Aroostook
