county,city,ballot_nov2019
Androscoggin,,
,Auburn,"Mayor, city council, school committee"
,Durham,"School budget"
,Greene,
,Leeds,
,Lewiston,"Mayor, city council, school committee, bond question about building a new wing on Lewiston High School"
,Lisbon,
,Livermore,
,"Livermore Falls",
,"Mechanic Falls",
,Minot,
,Poland,
,Sabattus,
,Turner,
,Wales,
Aroostook,,
,Allagash,
,Amity,
,Ashland,
,Bancroft,
,Blaine,
,Bridgewater,
,Caribou,"City council, school board, hospital fund"
,"Cary Plantation",
,"Castle Hill",
,Caswell,
,Chapman,
,Crystal,
,"Cyr Plantation",
,"Dyer Brook",
,"Eagle Lake",
,Easton,
,"Fort Fairfield",
,"Fort Kent",
,Frenchville,
,"Garfield Plantation",
,"Glenwood Plantation",
,"Grand Isle",
,Hamlin,
,Hammond,
,Haynesville,
,Hersey,
,Hodgdon,
,Houlton,
,"Island Falls",
,Limestone,
,Linneus,
,Littleton,
,Ludlow,
,"Macwahoc Plantation",
,Madawaska,
,Mapleton,
,"Mars Hill",
,Masardis,
,Merrill,
,Monticello,
,"Moro Plantation",
,"Nashville Plantation",
,"New Canada",
,"New Limerick",
,"New Sweden",
,Oakfield,
,Orient,
,"Oxbow Plantation",
,Perham,
,"Portage Lake",
,"Presque Isle","School board, city council, warden, ward clerk,"
,"Reed Plantation",
,Sherman,
,Smyrna,
,"St. Agatha",
,"St. Francis",
,"St. John Plantation",
,Stockholm,
,"Van Buren",
,Wade,
,Wallagrass,
,Washburn,
,Westfield,
,Westmanland,
,Weston,
,"Winterville Plantation",
,Woodland,
Cumberland,,
,Baldwin,
,Bridgton,"Question about marajuana"
,Brunswick,"Town council for districts 1, 2 and 6"
,"Cape Elizabeth","Town council"
,Casco,
,"Chebeague Island",
,Cumberland,
,Falmouth,
,Freeport,
,"Frye Island",
,Gorham,
,Gray,
,Harpswell,
,Harrison,"Question about a mooring ordinance"
,"Long Island",
,Naples,
,"New Gloucester",
,"North Yarmouth",
,Portland,"Mayor, city council, school board <br> Check out OpenMaine's beta <a href=""http://openmaine.org/campaign/index.html"">campaign finance site</a> for the mayoral race"
,Pownal,
,Raymond,
,Scarborough,
,Sebago,"School budget"
,"South Portland","City council, warden, ward clerk, board of education, water district trustee, bond question about building a new middle school, bond question about traffic and pedestrian improvements"
,Standish,"Special financial town meeting referendum"
,Westbrook,"Mayor, city council, school committee, warden, ward clerk, water district, charter amendment about warden and ward clerk term length"
,Windham,
,Yarmouth,
Franklin,,
,Avon,
,"Carrabassett Valley",
,Carthage,
,Chesterville,
,"Coplin Plantation",
,"Dallas Plantation",
,Eustis,
,Farmington,
,Industry,
,Jay,
,Kingfield,
,"New Sharon",
,"New Vineyard",
,Phillips,
,Rangeley,
,"Rangeley Plantation",
,"Sandy River Plantation",
,Strong,
,Temple,
,Weld,
,Wilton,
Hancock,,
,Amherst,
,Aurora,
,"Bar Harbor",
,"Blue Hill",
,Brooklin,
,Brooksville,
,Bucksport,"Town council, school committee, questions about replacing the municipal pool and road repair"
,Castine,
,"Cranberry Isles",
,Dedham,
,"Deer Isle",
,Eastbrook,
,Ellsworth,
,Franklin,
,Frenchboro,
,Gouldsboro,
,"Great Pond",
,Hancock,
,Lamoine,
,Mariaville,
,"Mount Desert",
,Orland,
,Osborn,
,Otis,
,Penobscot,
,Sedgwick,
,Sorrento,
,"Southwest Harbor",
,Stonington,
,Sullivan,
,Surry,
,"Swans Island",
,Tremont,
,Trenton,
,"Verona Island",
,Waltham,
,"Winter Harbor",
Kennebec,,
,Albion,
,Augusta,"City council, board of education, questions about fire equipment and street and sidewalk repair"
,Belgrade,
,Benton,
,Chelsea,
,China,
,Clinton,
,Farmingdale,
,Fayette,
,Gardiner,"City council, school board"
,Hallowell,
,Litchfield,
,Manchester,
,Monmouth,
,"Mount Vernon",
,Oakland,
,Pittston,
,Randolph,
,Readfield,
,Rome,
,Sidney,
,Vassalboro,
,Vienna,
,Waterville,"City council, board of education, water district trustee, charter commission, question about establishing a charter commission"
,Wayne,
,"West Gardiner",
,Windsor,
,Winslow,
,Winthrop,
Knox,,
,Appleton,
,Camden,
,Cushing,
,Friendship,
,Hope,
,"Isle Au Haut",
,"Matinicus Isle Plantation",
,"North Haven",
,"Owls Head",
,Rockland,
,Rockport,
,"South Thomaston",
,"St. George",
,Thomaston,
,Union,"Land use, subdivision, general securities"
,Vinalhaven,
,Warren,
,Washington,
Lincoln,,
,Alna,
,Boothbay,
,"Boothbay Harbor",
,Bremen,
,Bristol,
,Damariscotta,Ordinance
,Dresden,
,Edgecomb,
,Jefferson,
,"Monhegan Island Plantation",
,Newcastle,
,Nobleboro,
,Somerville,
,"South Bristol",
,Southport,
,Waldoboro,
,"Westport Island",
,Whitefield,
,Wiscasset,
Oxford,,
,"Albany Township",
,Andover,
,Bethel,
,Brownfield,
,Buckfield,
,Byron,
,Canton,
,Denmark,
,Dixfield,
,Fryeburg,
,Gilead,
,Greenwood,
,Hanover,
,Hartford,
,Hebron,
,Hiram,"Question about widening a right of way to municipal buildings"
,"Lincoln Plantation",
,Lovell,
,"Magalloway Plantation",
,"Mason Township",
,Mexico,
,"Milton Township",
,Newry,
,"North Oxford Unorganized Territories",
,Norway,
,Otisfield,
,Oxford,
,Paris,
,Peru,
,Porter,
,Roxbury,
,Rumford,
,"South Oxford Unorganized Territory",
,Stoneham,
,Stow,
,Sumner,
,Sweden,
,Upton,
,Waterford,
,"West Paris",
,Woodstock,
Penobscot,,
,Alton,
,Argyle,
,Bangor,"City council, school committee, bond question about improving city hall"
,Bradford,
,Bradley,
,Brewer,
,Burlington,
,Carmel,
,"Carroll Plantation",
,"Cedar Lake Township",
,Charleston,
,Chester,
,Clifton,
,Corinna,
,Corinth,
,Dexter,
,Dixmont,
,"Drew Plantation",
,"East Millinocket",
,Eddington,
,Edinburg,
,Enfield,
,Etna,
,Exeter,
,Garland,
,Glenburn,
,"Grand Falls",
,Greenbush,
,Greenfield,
,Grindstone,
,Hampden,
,Hermon,
,Herseytown,
,Holden,"Question about recreational marajuana"
,"Hopkins Academy Grant",
,Howland,
,Hudson,
,"Indian Island",
,"Indian Ourchase 4",
,"Indian Purchase 3",
,Kenduskeag,
,Kingman,
,Lagrange,
,Lakeville,
,Lee,
,Levant,
,Lincoln,"Town council, sanitary district, school board"
,"Long A",
,Lowell,
,Mattamiscontis,
,Mattawamkeag,
,Maxfield,
,Medway,
,Milford,
,Millinocket,
,"Mount Chase",
,Newburgh,
,Newport,
,"Old Town",
,Orono,
,Orrington,
,Passadumkeag,
,Patten,
,Plymouth,
,Prentiss,
,Pukakon,
,"Seboeis Plantation",
,Soldiertown,
,Springfield,
,Stacyville,
,Stetson,
,Summit,
,"T1 R6 WELS",
,"T1 R8 WELS",
,"T2 R8 NWP",
,"T2 R8 WELS",
,"T2 R9 NWP",
,"T3 R1 NBPP",
,"T3 R7 WELS",
,"T3 R8 WELS",
,"T4 R7 WELS",
,"T4 R8 WELS",
,"T5 R7 WELS",
,"T5 R8 WELS",
,"T6 R6 WELS",
,"T6 R7 WELS",
,"T6 R8 WELS",
,"T7 R6 WELS",
,"T7 R7 WELS",
,"T7 R8 WELS",
,"T8 R6 WELS",
,"T8 R7 WELS",
,"T8 R8 WELS",
,"TA R7 WELS",
,Veazie,
,"Veazie Gore",
,"Webster Plantation",
,Winn,
,Woodville,
Piscataquis,,
,Abbot,
,Atkinson,
,"Beaver Cove",
,Bowerbank,
,Brownville,
,Dover-Foxcroft,
,Greenville,
,Guilford,
,"Kingsbury Plantation",
,"Lake View Plantation",
,Medford,
,Milo,
,Monson,
,Parkman,
,Sangerville,
,Sebec,
,Shirley,
,Wellington,
,Willimantic,
Sagadahoc,,
,Arrowsic,
,Bath,"City council, charter amendment about contract lengths"
,Bowdoin,
,Bowdoinham,
,Georgetown,
,"Perkins Township (Swan Island)",
,Phippsburg,
,Richmond,
,Topsham,"Selectmen, school board"
,"West Bath",
,Woolwich,
Somerset,,
,Anson,
,Athens,
,Bingham,
,"Brighton Plantation",
,Cambridge,
,Canaan,"Question about selling liquor on Sundays"
,Caratunk,
,Cornville,
,"Dennistown Plantation",
,Detroit,
,Embden,
,Fairfield,"Town council, school board, water district, charter amendment about term limits"
,Harmony,
,Hartland,
,"Highland Plantation",
,Jackman,
,Madison,
,Mercer,
,"Moose River",
,Moscow,
,"New Portland",
,Norridgewock,
,Palmyra,
,Pittsfield,
,"Pleasant Ridge Plantation",
,Ripley,
,Skowhegan,
,Smithfield,
,Solon,
,"St. Albans",
,Starks,
,"The Forks Plantation",
,"West Forks Plantation",
Waldo,,
,Belfast,
,Belmont,
,Brooks,
,Burnham,
,Frankfort,
,Freedom,
,Islesboro,
,Jackson,
,Knox,
,Liberty,
,Lincolnville,
,Monroe,
,Montville,
,Morrill,
,Northport,
,Palermo,
,Prospect,
,Searsmont,
,Searsport,
,"Stockton Springs",
,Swanville,
,Thorndike,
,Troy,
,Unity,
,Waldo,
,Winterport,
Washington,,
,Addison,
,Alexander,
,Baileyville,
,Beals,
,Beddington,
,Calais,
,Charlotte,
,Cherryfield,
,"Codyville Plantation",
,Columbia,
,"Columbia Falls",
,Cooper,
,Crawford,
,Cutler,
,Danforth,
,Deblois,
,Dennysville,
,"East Machias",
,Eastport,
,"Grand Lake Stream Plantation",
,Harrington,
,"Indian Township Reservation",
,Jonesboro,
,Jonesport,
,Lubec,
,Machias,
,Machiasport,
,Marshfield,
,Meddybemps,
,Milbridge,
,Northfield,
,Pembroke,
,Perry,
,"Pleasant Point Reservation",
,Princeton,
,Robbinston,
,"Roque Bluffs",
,Steuben,
,Talmadge,
,Topsfield,
,Vanceboro,
,Waite,
,Wesley,
,Whiting,
,Whitneyville,
York,,
,Acton,
,Alfred,
,Arundel,
,Berwick,"Questions about fire department apparatus and vehicles, replacing street lights with LEDs, federal financing, budget matching funds, and library trustees"
,Biddeford,"Mayor, city council, school committee, warden and ward clerk"
,Buxton,
,Cornish,
,Dayton,
,Eliot,
,Hollis,"Tax collector, zoning ordnance, finance committee ordinance"
,Kennebunk,"Questions about purchasing property, emergency services, and making Higgins Drive and Flagship Circle town ways"
,Kennebunkport,Selectman
,Kittery,"Town council, school committee, library expansion"
,Lebanon,"Questions about state run agency liquor stores and amendments to the board of appeals ordinance"
,Limerick,
,Limington,"Questions about zoning and subdivision ordinances"
,Lyman,
,Newfield,
,"North Berwick",
,Ogunquit,"Select board, town review committee, questions about a charter commission, recalling elected officials, transferring funds for an over expenditure, transferring funds for erosion control, and reconstruction and expansion of the main beach bathouse and lifeguard station"
,"Old Orchard Beach","Town council, school board"
,Parsonsfield,
,Saco,"Mayor, city council, warden, ward clerk, charter amendments about posting, borrowing, and term limits"
,Sanford,"City council, school committee, water district trustee, sewerage district trustee, bond question about road reconstruction, bond question to acquire and develop land for a new fire station, bond question about improving school buildings"
,Shapleigh,
,"South Berwick","Town council, school district director"
,Waterboro,"Question about an ATV ordinance"
,Wells,"Question about comprehensive plan updates"
,York,
