Office,Dist,County,Party,LastName,FirstName,MiddleName,Suffix,Contested,ballotpedia,website,website_text,comparison,comparison_text
United States Senate,,,R,Collins,Susan,Margaret,,N,https://ballotpedia.org/Susan_Collins_(Maine),https://www.susancollins.com/,Campaign website,,
United States Senate,,,D,Gideon,Sara,I.,,Y,https://ballotpedia.org/Sara_Gideon,https://saragideon.com/,Campaign website,https://www.newscentermaine.com/article/news/politics/maine-politics/maine-us-senate-candidates-share-virtual-stage-for-the-first-time-since-november/97-2fff089c-9957-4bfc-90df-0e2aa866ea96,Candidate Forum
United States Senate,,,D,Kidman,Bre,,,Y,https://ballotpedia.org/Bre_Kidman,https://www.beekay4maine.com/,Campaign website,https://www.newscentermaine.com/article/news/politics/maine-politics/maine-us-senate-candidates-share-virtual-stage-for-the-first-time-since-november/97-2fff089c-9957-4bfc-90df-0e2aa866ea96,Candidate Forum
United States Senate,,,D,Sweet,Elizabeth,A.,,Y,https://ballotpedia.org/Betsy_Sweet,https://www.betsysweet.com/,Campaign website,https://www.newscentermaine.com/article/news/politics/maine-politics/maine-us-senate-candidates-share-virtual-stage-for-the-first-time-since-november/97-2fff089c-9957-4bfc-90df-0e2aa866ea96,Candidate Forum
United States House of Representatives,1,,R,Allen,Jay,T.,,N,https://ballotpedia.org/Jay_Allen,https://jayallenforcongress.com/,Campaign website,,
United States House of Representatives,1,,D,Pingree,Chellie,M.,,N,https://ballotpedia.org/Chellie_Pingree,http://www.chelliepingree.com/,Campaign website,,
United States House of Representatives,2,,R,Bennett,Adrienne,,,Y,https://ballotpedia.org/Adrienne_Bennett,https://www.adrienne2020.com/,Campaign website,https://www.wmtw.com/article/2nd-congressional-district-debate/23832983,Debate
United States House of Representatives,2,,R,Brakey,Eric,L.,,Y,https://ballotpedia.org/Eric_Brakey,https://ericbrakey.com/,Campaign website,https://www.wmtw.com/article/2nd-congressional-district-debate/23832983,Debate
United States House of Representatives,2,,R,Crafts,Dale,John,,Y,https://ballotpedia.org/Dale_Crafts,https://dalecraftsforcongress.com/,Campaign website,https://www.wmtw.com/article/2nd-congressional-district-debate/23832983,Debate
United States House of Representatives,2,,D,Golden,Jared,F.,,N,https://ballotpedia.org/Jared_Golden,https://jaredgoldenforcongress.com/,Campaign website,,
