county,city,type,website,drop,ballot,ballot_link,ballot_link_text,sorting_county
Androscoggin,Auburn,election,https://www.auburnmaine.gov/pages/government/election-and-voting,,,,,Androscoggin
Androscoggin,Durham,town,https://www.durhamme.com/,,,,,Androscoggin
Androscoggin,Greene,town,https://www.townofgreene.net/index.php,,,,,Androscoggin
Androscoggin,Leeds,town,https://townofleeds.com/,,,,,Androscoggin
Androscoggin,Lewiston,election,https://www.lewistonmaine.gov/117/Elections,City Hall - Park Street entrance door,,,,Androscoggin
Androscoggin,Lisbon,election,https://www.lisbonmaine.gov/225/Town-Clerk-Elections,Town hall,,,,Androscoggin
Androscoggin,Livermore,town,https://www.livermoremaine.org/,,,,,Androscoggin
Androscoggin,Livermore Falls,election,https://lfme.org/elections/,,,,,Androscoggin
Androscoggin,Mechanic Falls,town,https://www.mechanicfalls.org/,,,,,Androscoggin
Androscoggin,Minot,election,https://minotme.org/index.asp?SEC=8CA67442-D60D-4CCD-B5C0-F0C162FD0658&DE=3DD12AA1-1B1B-4844-AB38-AD2EA80C2324,Town hall main entrance,,,,Androscoggin
Androscoggin,Poland,town,https://www.polandtownoffice.org/,,,,,Androscoggin
Androscoggin,Sabattus,town,https://www.sabattus.org/,,,,,Androscoggin
Androscoggin,Turner,town,https://www.turnermaine.com/,,,,,Androscoggin
Androscoggin,Wales,Facebook,https://www.facebook.com/Town-of-Wales-Maine-105105240896391/,,,,,Androscoggin
Aroostook,Allagash,contact info,http://mainegov-images.informe.org/local/town.php?t=Allagash,,,,,Aroostook
Aroostook,Amity,town,https://townofamity.com/,,,,,Aroostook
Aroostook,Ashland,town,https://townofashland.org/,,,,,Aroostook
Aroostook,Blaine,contact info,http://mainegov-images.informe.org/local/town.php?t=Blaine,,,,,Aroostook
Aroostook,Bridgewater,Facebook,https://www.facebook.com/bridgewatermaine/,,,,,Aroostook
Aroostook,Caribou,election,https://www.cariboumaine.org/elections/,,,,,Aroostook
Aroostook,Cary Plantation,contact info,http://mainegov-images.informe.org/local/town.php?t=Cary%20Plt,,,,,Aroostook
Aroostook,Castle Hill,town,https://mapleton.me/,,,,,Aroostook
Aroostook,Caswell,contact info,http://mainegov-images.informe.org/local/town.php?t=Caswell,,,,,Aroostook
Aroostook,Chapman,town,https://www.mapleton.me/#,,,,,Aroostook
Aroostook,Crystal,contact info,http://mainegov-images.informe.org/local/town.php?t=Crystal,,,,,Aroostook
Aroostook,Cyr Plantation,contact info,http://mainegov-images.informe.org/local/town.php?t=Cyr%20Plt,,,,,Aroostook
Aroostook,Dyer Brook,contact info,http://mainegov-images.informe.org/local/town.php?t=Dyer%20Brook,,,,,Aroostook
Aroostook,Eagle Lake,election,https://www.townofeaglelake.org/registering-to-vote,,,,,Aroostook
Aroostook,Easton,election,https://www.eastonme.com/municipal-departments/elections-voting/,,,,,Aroostook
Aroostook,Fort Fairfield,town,http://www.fortfairfield.org/,,,,,Aroostook
Aroostook,Fort Kent,town,https://www.fortkent.org/,,,,,Aroostook
Aroostook,Frenchville,town,https://www.frenchville.org/,,,,,Aroostook
Aroostook,Garfield Plantation,contact info,http://mainegov-images.informe.org/local/town.php?t=Garfield%20Plt,,,,,Aroostook
Aroostook,Glenwood Plantation,contact info,http://mainegov-images.informe.org/local/town.php?t=Glenwood%20Plt,,,,,Aroostook
Aroostook,Grand Isle,town,https://grandislemaine.com/,,,,,Aroostook
Aroostook,Hamlin,contact info,http://mainegov-images.informe.org/local/town.php?t=Hamlin,,,,,Aroostook
Aroostook,Hammond,contact info,http://mainegov-images.informe.org/local/town.php?t=Hammond,,,,,Aroostook
Aroostook,Haynesville,contact info,http://mainegov-images.informe.org/local/town.php?t=Haynesville,,,,,Aroostook
Aroostook,Hersey,town,https://www.pattenmaine.org/hersey,,,,,Aroostook
Aroostook,Hodgdon,contact info,http://mainegov-images.informe.org/local/town.php?t=Hodgdon,,,,,Aroostook
Aroostook,Houlton,town,https://www.houlton-maine.com/,,,,,Aroostook
Aroostook,Island Falls,town,https://www.islandfallsme.us/,,,,,Aroostook
Aroostook,Limestone,town,http://www.limestonemaine.org/,,,,,Aroostook
Aroostook,Linneus,contact info,http://mainegov-images.informe.org/local/town.php?t=Linneus,,,,,Aroostook
Aroostook,Littleton,Facebook,https://www.facebook.com/pages/Littleton-Town-Office/1065409710159142,,,,,Aroostook
Aroostook,Ludlow,Facebook,https://www.facebook.com/pages/Ludlow-Town-Office/452966878460576,,,,,Aroostook
